block;cfg_no;config;ref_bpm;bpm_decision;diff_bpm;spo2_pct;ratio_r;pi_red_pct;pi_ir_pct;dc_red;dc_ir;retained_pct;discard_pct;sat_pct;spo2_ready_actual;spo2_plausible_relajado;spo2_score_relajado;summary_quality;motivo_no_ready
123040;1;RED31 IR31 AVG1 ADC16384;85.0;150.07;65.07;0.0;2.2932;0.066;0.0288;2917.1;8854.2;84.13;15.87;0.0;NO;NO;4.06;0.0;PI_IR<0.15 PI_RED<0.08 ratio_fuera spo2_fuera 
123040;2;RED63 IR63 AVG1 ADC16384;79.5;75.7;3.8;0.0;2.1885;0.031;0.0142;6104.2;18882.1;100.0;0.0;0.0;NO;NO;34.2;18.99;PI_IR<0.15 PI_RED<0.08 ratio_fuera spo2_fuera 
123040;3;RED127 IR127 AVG1 ADC16384;79.5;46.22;33.28;88.35;0.8444;0.0247;0.0292;12488.5;38815.4;95.87;4.13;0.0;NO;NO;49.93;20.83;PI_IR<0.15 PI_RED<0.08 
123040;4;RED199 IR159 AVG1 ADC16384;85.0;89.86;4.86;54.59;1.3403;0.0113;0.0084;19546.8;48386.3;99.25;0.75;0.0;NO;NO;44.76;45.4;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;5;RED199 IR159 AVG2 ADC16384;82.5;81.85;0.65;41.17;1.479;0.0142;0.0096;19581.8;48456.3;100.0;0.0;0.0;NO;NO;49.35;20.75;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;6;RED199 IR159 AVG4 ADC16384;82.5;85.41;2.91;66.45;1.1991;0.0104;0.0087;19630.4;48567.0;100.0;0.0;0.0;NO;NO;47.09;48.94;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;7;RED199 IR159 AVG4 ADC8192;83.5;79.81;3.69;69.56;1.1581;0.0094;0.0082;39813.8;97536.3;100.0;0.0;0.0;NO;NO;46.31;18.82;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;8;RED199 IR159 AVG2 ADC8192;81.0;78.45;2.55;29.42;1.588;0.0157;0.0099;39191.4;95799.1;63.84;36.16;0.0;NO;NO;35.45;0.0;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;9;RED159 IR159 AVG4 ADC16384;78.5;79.81;1.31;26.38;1.6146;0.0131;0.0081;15489.7;48110.2;100.0;0.0;0.0;NO;NO;48.69;42.64;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;10;RED159 IR159 AVG4 ADC8192;78.5;70.59;7.91;62.42;1.2495;0.0102;0.0081;31432.9;96868.2;79.44;20.56;0.0;NO;NO;31.81;0.0;PI_IR<0.15 PI_RED<0.08 spo2_fuera 
123040;11;RED199 IR159 AVG1 ADC8192;77.5;60.37;17.13;0.0;5.2506;0.5409;0.103;40970.8;98317.0;96.73;3.27;0.0;NO;NO;29.24;24.42;PI_IR<0.15 ratio_fuera spo2_fuera 
123040;12;RED159 IR159 AVG2 ADC16384;80.0;87.9;7.9;1.09;1.818;0.0159;0.0087;16411.6;49562.9;99.12;0.88;0.0;NO;NO;29.66;45.4;PI_IR<0.15 PI_RED<0.08 ratio_fuera spo2_fuera 
124425;1;RED31 IR31 AVG1 ADC16384;74.33;48.1;26.23;75.24;1.0775;0.077;0.0715;5264.0;11055.1;85.84;14.16;0.0;NO;NO;56.92;0.0;PI_IR<0.15 PI_RED<0.08 
124425;2;RED59 IR47 AVG1 ADC16384;71.33;71.89;0.56;99.95;0.3522;0.0236;0.067;9794.4;17160.5;99.62;0.38;0.0;NO;NO;69.26;19.09;PI_IR<0.15 PI_RED<0.08 
124425;3;RED95 IR95 AVG1 ADC16384;70.0;68.08;1.92;99.48;0.2342;0.0181;0.0772;15387.1;35377.8;100.0;0.0;0.0;NO;NO;56.08;20.06;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
124425;4;RED199 IR159 AVG1 ADC16384;70.67;69.36;1.31;99.27;0.2131;0.0162;0.0759;31592.9;58765.8;99.25;0.75;0.0;NO;NO;56.32;18.31;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
124425;5;RED199 IR159 AVG2 ADC16384;70.0;64.69;5.31;99.13;0.2017;0.0176;0.0871;30976.3;58550.2;100.0;0.0;0.0;NO;NO;52.69;42.19;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
124425;6;RED199 IR159 AVG4 ADC16384;65.0;47.24;17.76;98.89;0.1826;0.0158;0.0867;30549.9;58553.4;59.35;40.65;0.0;NO;NO;20.24;7.06;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
124425;7;RED199 IR159 AVG4 ADC8192;70.33;50.41;19.92;98.13;0.5383;0.0315;0.0586;70795.2;128169.7;92.52;7.48;0.0;NO;NO;53.26;21.68;PI_IR<0.15 PI_RED<0.08 
124425;8;RED199 IR159 AVG1 ADC8192;71.0;67.91;3.09;99.74;0.4057;0.0298;0.0736;69650.8;127815.8;71.89;28.11;0.0;NO;NO;54.91;0.0;PI_IR<0.15 PI_RED<0.08 
124425;9;RED199 IR159 AVG2 ADC8192;66.67;71.29;4.62;98.72;0.1713;0.0144;0.084;73031.1;128618.0;98.46;1.54;0.0;NO;NO;44.61;37.42;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
124425;10;RED159 IR159 AVG2 ADC16384;73.33;88.45;15.12;99.91;0.3676;0.0219;0.0597;27985.5;63289.7;99.23;0.77;0.0;NO;NO;54.5;36.64;PI_IR<0.15 PI_RED<0.08 
124425;11;RED159 IR159 AVG2 ADC8192;77.33;72.61;4.73;99.8;0.3958;0.0307;0.0776;53997.5;126203.8;97.35;2.65;0.0;NO;NO;68.95;35.34;PI_IR<0.15 PI_RED<0.08 
124425;12;RED159 IR159 AVG1 ADC16384;72.0;71.95;0.05;99.74;0.2679;0.0194;0.0723;25872.5;62145.7;100.0;0.0;0.0;NO;NO;57.95;20.49;PI_IR<0.15 PI_RED<0.08 ratio_fuera 
